ID,Label
0,"azp-2o1,1 + ntf2"
1,"azp-2o1,1 + otf"
2,"azp-2o1,1 + tfa"
3,"azp-2o1,2o1 + ntf2"
4,"azp-4,1 + ntf2"
5,"azp-6,1 + ntf2"
6,"azp-[2o]21,1 + ntf2"
7,"azp-[2o]21,1 + otf"
8,"azp-[2o]21,1 + tfa"
9,"azp-[2o]21,[2o]21 + ntf2"
10,"bim-4,2 + h2po4"
11,"bthz-s2[2] + po2-o2,o2"
12,"cap-1,o2 + ntf2"
13,"cap-1,o2 + otf"
14,"cguad-(2,1),1,1 + ntf2"
15,"cguad-(2,2),1,1 + ntf2"
16,"cguad-(3,1),1,1 + ntf2"
17,"cprop-(n-10,10),(n-10,10),(n-10,10) + dca"
18,"cprop-(n-10,10),(n-10,10),(n-10,10) + ntf2"
19,"cprop-(n-2,1),(n-1,1),(n-1,1) + ntf2"
20,"cprop-(n-2,1),(n-2,1),(n-2,1) + ntf2"
21,"cprop-(n-2,2),(n-1,1),(n-1,1) + ntf2"
22,"cprop-(n-2,2),(n-2,2),(n-1,1) + dca"
23,"cprop-(n-2,2),(n-2,2),(n-1,1) + ntf2"
24,"cprop-(n-2,2),(n-2,2),(n-2,2) + dca"
25,"cprop-(n-2,2),(n-2,2),(n-2,2) + ntf2"
26,"cprop-(n-3,1),(n-1,1),(n-1,1) + dca"
27,"cprop-(n-3,1),(n-1,1),(n-1,1) + ntf2"
28,"cprop-(n-3,3),(n-1,1),(n-1,1) + ntf2"
29,"cprop-(n-3,3),(n-3,3),(n-3,3) + dca"
30,"cprop-(n-3,3),(n-3,3),(n-3,3) + ntf2"
31,"cprop-(n-4,1),(n-1,1),(n-1,1) + dca"
32,"cprop-(n-4,1),(n-1,1),(n-1,1) + ntf2"
33,"cprop-(n-4,1),(n-2,2),(n-2,2) + dca"
34,"cprop-(n-4,1),(n-2,2),(n-2,2) + ntf2"
35,"cprop-(n-4,1),(n-4,1),(n-4,1) + dca"
36,"cprop-(n-4,1),(n-4,1),(n-4,1) + ntf2"
37,"cprop-(n-4,4),(n-1,1),(n-1,1) + ntf2"
38,"cprop-(n-4,4),(n-2,2),(n-2,2) + dca"
39,"cprop-(n-4,4),(n-2,2),(n-2,2) + ntf2"
40,"cprop-(n-4,4),(n-4,4),(n-4,4) + dca"
41,"cprop-(n-4,4),(n-4,4),(n-4,4) + ntf2"
42,"cprop-(n-5,5),(n-5,5),(n-5,5) + dca"
43,"cprop-(n-5,5),(n-5,5),(n-5,5) + ntf2"
44,"cprop-(n-6,1),(n-1,1),(n-1,1) + ntf2"
45,"cprop-(n-6,1),(n-2,2),(n-2,2) + dca"
46,"cprop-(n-6,1),(n-2,2),(n-2,2) + ntf2"
47,"cprop-(n-6,6),(n-1,1),(n-1,1) + ntf2"
48,"cprop-(n-6,6),(n-2,2),(n-2,2) + dca"
49,"cprop-(n-6,6),(n-2,2),(n-2,2) + ntf2"
50,"cprop-(n-6,6),(n-6,6),(n-6,6) + dca"
51,"cprop-(n-6,6),(n-6,6),(n-6,6) + ntf2"
52,dabco-6 + ntf2
53,dbu-10 + dca
54,dbu-10 + scn
55,dbu-14 + dca
56,dbu-2 + dca
57,dbu-4 + dca
58,dbu-4 + imidazolide
59,dbu-6 + dca
60,dbu-6 + scn
61,dbu-8 + dca
62,dbu-8 + scn
63,dbu + ac
64,dbu + imidazolide
65,dbu + otf
66,dbu + so3-1
67,dbu + tfa
68,epslac + 4ac
69,epslac + ac
70,epslac + bf4
71,epslac + for
72,epslac + tfa
73,"guad-(1,1),(1,1),(1,1) + la"
74,"guad-(1,1),(1,1),2 + ntf2"
75,"guad-(1,1),(1,1),2 + so4-2"
76,"guad-(1,1),(1,1) + imidazolide"
77,"guad-(1,1),(1,1) + phen"
78,"guad-(1,1),(1,1) + tfe"
79,"guad-(2,1),(1,1),(1,1) + ntf2"
80,"guad-(2,2),(1,1),(1,1) + ntf2"
81,"guad-(2,2),(1,1),(1,1) + so4-2"
82,"guad-(2o1,2o1),(1,1),(1,1) + ntf2"
83,"guad-(2o2,2o1),(1,1),(1,1) + ntf2"
84,"guad-(3,1),(1,1),(1,1) + ntf2"
85,"guad-(3,2),(1,1),(1,1) + ntf2"
86,"guad-(3,3),(1,1),(1,1) + ntf2"
87,"guad-(4,1),(1,1),(1,1) + ntf2"
88,"guad-(4,2),(1,1),(1,1) + ntf2"
89,"guad-(4,3),(1,1),(1,1) + ntf2"
90,"guad-(4,4),(1,1),(1,1) + ntf2"
91,"guad-(6,6),(1,1),(1,1) + ccn3"
92,"guad-(6,6),(6,6),(1,1) + dca"
93,"guad-(6,6),(6,6),(1,1) + ntf2"
94,"guad-(6,6),(6,6),(1,1) + otf"
95,"guad-(6,6),(6,6),(1,1) + sac"
96,"guad-(6,6),(6,6),(1,1) + so3-ph1"
97,"guad-(6,6),(6,6),(1,1) + tfa"
98,"im-1(1[f]),1 + ntf2"
99,"im-1(chbr,ch2br),(chbr,ch2br) + ntf2"
100,"im-1(chbr,ch2br),1(chbr,ch2br) + ntf2"
101,"im-1(chbr,ch2br),1,br[4],br[5] + ntf2"
102,"im-1(chbr,ch2br),1 + ntf2"
103,"im-1,1,1o2 + ntf2"
104,"im-1,1,1o3 + ntf2"
105,"im-1,1[2] + ntf2"
106,"im-1,1 + bf3-1[f]"
107,"im-1,1 + bf3-2[f]"
108,"im-1,1 + bf3-3[f]"
109,"im-1,1 + dca"
110,"im-1,1 + ntf2"
111,"im-1,1 + po2-o1,o1"
112,"im-1,1 + so4-1"
113,"im-1,s2[2] + ntf2"
114,"im-1,s2[2] + otf"
115,"im-1,s2[2] + pf6"
116,"im-1,s4[2] + ntf2"
117,"im-1,s4[2] + otf"
118,"im-1,s4[2] + po2-o4,o4"
119,"im-10,1,1 + ntf2"
120,"im-10,10 + ac"
121,"im-10,10 + no3"
122,"im-10,10 + ntf2"
123,"im-10,10 + po2-o8i,o8i"
124,"im-10,1 + al(ohfip)4"
125,"im-10,1 + bf4"
126,"im-10,1 + cl"
127,"im-10,1 + dca"
128,"im-10,1 + fpi"
129,"im-10,1 + npf2"
130,"im-10,1 + ntf2"
131,"im-10,1 + otf"
132,"im-10,1 + phen"
133,"im-10,1 + sac"
134,"im-10,1 + scn"
135,"im-10,1 + so3-4[f]"
136,"im-10,1 + tcb"
137,"im-11,1 + ntf2"
138,"im-12,12 + ntf2"
139,"im-12,1 + ntf2"
140,"im-12,1 + so3-4[f]"
141,"im-14,1 + ntf2"
142,"im-16,1 + ntf2"
143,"im-18,1 + fpi"
144,im-1 + ac
145,im-1 + hso4
146,im-1 + npf2
147,im-1 + ntf2
